sn,host,z,yeps_age,yeps_age.err-,yeps_age.err+,yeps_cur_feh,yeps_cur_feh.err-,yeps_cur_feh.err+,yeps_cur_afe,yeps_cur_afe.err-,yeps_cur_afe.err+,yeps_birth_feh,yeps_birth_feh.err-,yeps_birth_feh.err+,yeps_birth_afe,yeps_birth_afe.err-,yeps_birth_afe.err+,tmj11_age,tmj11_age.err-,tmj11_age.err+,tmj11_cur_feh,tmj11_cur_feh.err-,tmj11_cur_feh.err+,tmj11_cur_afe,tmj11_cur_afe.err-,tmj11_cur_afe.err+,tmj11_birth_feh,tmj11_birth_feh.err-,tmj11_birth_feh.err+,tmj11_birth_afe,tmj11_birth_afe.err-,tmj11_birth_afe.err+,s07_age,s07_age.err-,s07_age.err+,s07_cur_feh,s07_cur_feh.err-,s07_cur_feh.err+,s07_cur_afe,s07_cur_afe.err-,s07_cur_afe.err+,s07_birth_feh,s07_birth_feh.err-,s07_birth_feh.err+,s07_birth_afe,s07_birth_afe.err-,s07_birth_afe.err+,s2_x1,s2_x1.err,s2_c,s2_c.err,s2_hr,s2_hr.err
SN2001ie,UGC05542,0.030738,7.784,1.442,1.436,0.027,0.094,0.095,0.01,0.01,0.01,-0.12868,0.1319399999999999,0.130182,-0.14568,0.0479399999999999,0.045182,11.21,1.827,1.609,-0.0463,0.0918,0.1101,0.062,0.054,0.034,-0.2705,0.136799,0.156023,-0.1622,0.098999,0.079923,11.107,1.492,1.386,-0.081,0.084,0.082,0.01,0.01,0.01,-0.30314,0.1242129999999999,0.121455,-0.21214,0.050213,0.049455,-0.588,0.119,-0.024,0.027,0.046,0.11
SN2002do,MCG+07-41-001,0.015881,5.031,0.196,0.163,0.43,0.026,0.02,0.283,0.015,0.013,0.32938,0.034454,0.0287549999999999,0.18238,0.023454,0.0217549999999999,9.848,0.651,0.539,0.1161,0.0261,0.027,0.335,0.02,0.01,-0.08086,0.0472669999999999,0.049217,0.13804,0.041167,0.032217,10.418,0.392,0.379,0.121,0.018,0.018,0.286,0.015,0.014,-0.08736,0.036377,0.0358659999999999,0.0776399999999999,0.033377,0.031866,-3.04,0.178,-0.044,0.027,0.146,0.108
SN2003ic,MCG-02-02-086,0.055672,10.476,2.309,2.155,0.072,0.147,0.167,0.271,0.035,0.02,-0.13752,0.202731,0.221347,0.06148,0.090731,0.074347,19.603,2.514,2.748,-0.2545,0.1444,0.1654,0.341,0.059,0.038,-0.64656,0.2217110000000001,0.232769,-0.0510599999999999,0.136311,0.1053689999999999,18.006,3.595,2.948,-0.126,0.123,0.12,0.361,0.036,0.025,-0.48612,0.202914,0.206311,0.0008799999999999,0.115914,0.111311,-1.999,0.203,-0.066,0.029,-0.306,0.115
SN2003iv,PGC010738,0.034307,4.854,0.46,0.335,0.223,0.055,0.052,0.176,0.02,0.017,0.12592,0.066889,0.065594,0.0789199999999999,0.031889,0.030594,7.775,0.979,0.91,0.0496,0.0516,0.0506,0.276,0.03,0.01,-0.1059,0.078485,0.076976,0.1205,0.056885,0.036376,8.372,0.619,0.597,0.04,0.03,0.03,0.188,0.02,0.018,-0.12744,0.0509089999999999,0.050133,0.0205599999999999,0.0409089999999999,0.038133,-2.157,0.188,-0.095,0.027,0.221,0.107
SN2004gc,ARP327NED04,0.032089,0.099,0.0,0.0,-0.08,0.06,0.03,0.516,0.013,0.016,-0.08198,0.060099,0.0300989999999999,0.51402,0.013099,0.0160989999999999,0.636,0.011,0.086,0.4624,0.0322,0.093,0.54,0.035,0.015,0.4496799999999999,0.034642,0.093845,0.5272800000000001,0.037442,0.0158449999999999,1.097,0.002,0.002,-0.53,0.03,0.02,0.579,0.028,0.027,-0.55194,0.031139,0.021135,0.55706,0.029139,0.028135,-0.682,0.04,0.078,0.022,-0.254,0.111
SN2004gs,MCG+03-22-020,0.027425,3.903,0.399,0.275,0.223,0.079,0.075,0.14,0.023,0.021,0.14494,0.088678,0.0864839999999999,0.06194,0.032678,0.032484,4.653,0.702,0.795,0.0998,0.06,0.0702,0.264,0.035,0.016,0.00674,0.081348,0.0881909999999999,0.17094,0.056348,0.0339909999999999,5.674,0.846,0.522,0.049,0.044,0.032,0.157,0.023,0.02,-0.06448,0.0606359999999999,0.053748,0.0435199999999999,0.0396359999999999,0.0417479999999999,-1.844,0.032,0.121,0.019,0.076,0.108
SN2005ag,SDSS J145643.21+091936.4 ,0.079665,0.098,0.001,0.001,-0.01,0.05,0.02,0.469,0.02,0.026,-0.01196,0.050119,0.020117,0.4670399999999999,0.0201189999999999,0.026117,0.544,0.047,0.021,0.1994,0.3724,0.2482,0.34,0.074,0.061,0.18852,0.373385,0.249637,0.32912,0.074985,0.062437,1.097,0.002,0.002,-0.59,0.05,0.03,0.449,0.065,0.063,-0.6119399999999999,0.051139,0.031135,0.42706,0.066139,0.064135,0.197,0.05,-0.046,0.023,-0.095,0.092
SN2005al,NGC5304,0.012402,5.003,0.545,0.396,0.132,0.056,0.051,0.226,0.02,0.017,0.0319399999999999,0.0693189999999999,0.066358,0.12594,0.0333189999999999,0.032358,7.858,1.004,0.976,-0.0367,0.0564,0.0527,0.321,0.031,0.01,-0.19386,0.084754,0.079634,0.16384,0.0593539999999999,0.036934,8.309,0.594,0.608,-0.009,0.033,0.047,0.258,0.021,0.018,-0.17518,0.054077,0.066595,0.09182,0.042077,0.037595,-1.22,0.029,-0.096,0.019,0.296,0.179
SN2005bl,NGC4070,0.02406,3.922,0.406,0.28,0.269,0.086,0.081,0.099,0.024,0.021,0.19056,0.0958019999999999,0.092636,0.0205599999999999,0.0338019999999999,0.032636,4.688,0.738,0.846,0.1404,0.0646,0.0738,0.224,0.038,0.018,0.04664,0.087054,0.09251,0.13024,0.060454,0.0367099999999999,5.809,0.812,0.587,0.078,0.045,0.039,0.114,0.024,0.022,-0.03818,0.063136,0.060237,-0.00218,0.042136,0.043237,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9
SN2005el,NGC1819,0.01491,0.097,0.002,0.002,0.13,0.09,0.03,0.473,0.015,0.019,0.12806,0.090139,0.0301349999999999,0.47106,0.015139,0.019135,0.627,0.026,0.023,0.536,0.0386,0.0386,0.484,0.051,0.031,0.52346,0.03971,0.039721,0.47146,0.0521099999999999,0.032121,1.09,0.009,0.009,-0.47,0.46,0.32,0.563,0.039,0.037,-0.4917999999999999,0.4612789999999999,0.321261,0.5411999999999999,0.0402789999999999,0.0382610000000001,-1.342,0.032,-0.131,0.021,0.151,0.083
